t,alt,ax,ay,az,gx,gy,gz,escPWM,rollDeg,pitchDeg
13895,-52.51,0.0034,-0.0049,1.0081,0.0027,0.0015,-0.0035,1566,-2.29,-2.59
13993,-52.50,0.0137,-0.0051,0.9958,0.0017,0.0059,0.0037,1566,-2.22,-2.57
14091,-52.51,-0.0068,-0.0002,0.9922,-0.0020,0.0016,-0.0015,1567,-2.20,-2.57
14189,-52.40,0.0134,-0.0012,1.0022,0.0088,0.0125,-0.0045,1567,-2.05,-2.50
14287,-52.41,0.0032,-0.0027,1.0029,0.0007,0.0001,0.0013,1567,-1.91,-2.41
14385,-52.54,-0.0046,-0.0105,0.9995,-0.0013,-0.0027,0.0005,1568,-1.69,-2.42
14483,-52.44,0.0251,0.0029,0.9614,-0.0051,0.0067,-0.0001,1568,-1.49,-2.40
14582,-52.48,-0.0044,-0.0117,1.0054,-0.0015,-0.0008,0.0091,1568,-1.48,-2.31
14681,-52.48,-0.0393,0.0273,0.9766,-0.0048,0.0045,0.0036,1569,-1.40,-2.25
14779,-52.54,-0.0022,0.0078,0.9954,-0.0007,-0.0004,0.0007,1569,-1.29,-2.07
14877,-52.65,-0.0015,0.0103,1.0012,0.0097,-0.0075,-0.0129,1569,-1.22,-1.85
14975,-52.62,0.0022,-0.0012,1.0027,-0.0009,0.0007,0.0049,1570,-1.14,-1.74
15073,-52.54,-0.0645,0.0051,1.0210,0.0336,-0.0476,-0.0139,1570,-1.21,-1.85
15171,-52.66,0.0510,-0.0044,1.0701,0.0421,-0.0685,-0.0341,1570,-1.26,-1.91
15269,-52.49,-0.0024,0.1160,0.9939,-0.0317,0.0035,-0.0015,1570,-1.81,-1.98
15367,-52.70,0.0039,0.0125,1.0134,-0.0847,-0.0036,0.0000,1571,-3.20,-2.56
15465,-52.71,0.0176,-0.1895,0.7930,-0.0280,-0.0418,0.0129,1571,-3.94,-2.96
15563,-52.44,-0.0037,0.0061,0.9746,0.0029,-0.0045,-0.0254,1571,-3.86,-2.91
15662,-52.81,0.0195,0.0242,1.0066,-0.0032,-0.0268,-0.0230,1571,-4.32,-2.66
15761,-52.47,-0.0234,-0.0259,0.9441,-0.0109,-0.0498,-0.0192,1572,-4.79,-2.76
15859,-52.57,0.0269,-0.0376,0.9905,0.0480,-0.0718,-0.0248,1572,-5.06,-3.32
15957,-52.56,0.0425,-0.0081,1.0251,0.0669,-0.0751,0.0241,1572,-5.88,-3.79
16055,-52.51,0.1084,0.0271,1.0461,0.0434,-0.0997,0.0071,1572,-7.24,-4.27
16153,-52.67,0.0046,0.0220,1.0010,-0.0613,-0.0590,0.0452,1572,-8.18,-4.18
16251,-52.50,0.0559,-0.0056,0.9846,-0.0080,-0.0671,0.0410,1573,-8.18,-3.66
16349,-52.57,0.0913,-0.0042,1.0261,-0.0879,-0.0414,0.0354,1573,-8.18,-2.88
16447,-52.52,0.0691,-0.0024,1.0002,-0.0873,-0.0056,0.0052,1573,-8.18,-1.67
16545,-52.41,0.0723,-0.0532,1.0684,-0.0653,0.1263,-0.0147,1573,-8.18,-0.60
16643,-52.42,0.0981,-0.0356,1.0249,0.0751,0.1629,-0.1110,1573,-8.18,-0.04
16742,-52.44,0.0278,-0.0071,1.0120,0.0057,0.1503,-0.0803,1573,-8.18,-0.15
16841,-52.62,0.0403,-0.0457,1.0249,-0.0520,0.1565,0.0822,1574,-8.18,-1.78
16939,-52.45,0.0056,-0.0659,1.0051,0.0388,0.2008,0.0790,1574,-5.94,-4.25
17037,-52.46,-0.0376,-0.0437,0.9717,0.1212,0.1693,0.0562,1574,-1.99,-4.15
17135,-52.45,-0.0544,-0.0022,1.0034,0.0369,0.1267,0.1184,1574,2.50,-1.93
17233,-52.40,-0.0708,0.0029,1.0125,0.0184,0.0658,0.1492,1574,7.04,-0.08
17331,-52.59,-0.0239,0.0049,1.0439,-0.0119,0.0887,0.1372,1574,8.18,2.24
17429,-52.33,-0.0850,0.0066,1.0193,0.0546,0.1170,0.1083,1575,8.18,5.71
17527,-52.36,-0.0818,0.0293,0.9934,0.0321,0.1516,0.0737,1575,8.18,8.18
17625,-52.31,-0.1587,0.0312,0.9148,0.0088,0.1547,0.1430,1575,8.18,8.18
17723,-52.43,-0.0789,-0.0022,0.9741,0.0739,0.0484,0.1006,1575,8.18,8.18
17822,-52.41,-0.0854,0.0632,0.9597,0.0798,0.0209,0.0990,1575,8.18,8.18
17921,-52.31,-0.0693,0.0342,0.9653,-0.0141,0.0773,0.0954,1575,8.18,8.18
18019,-52.22,-0.0532,0.0215,0.9180,0.0092,0.1356,0.0566,1575,8.18,8.18
18117,-52.02,-0.1226,0.0527,0.8909,0.0460,0.1467,0.0069,1575,8.18,8.18
18215,-52.17,-0.1697,0.0608,0.9790,-0.0055,0.0556,0.0266,1575,8.18,8.18
18313,-52.37,-0.2168,0.0535,0.9814,-0.0306,-0.0930,-0.0191,1576,8.18,8.18
18411,-52.24,-0.0925,0.0356,0.9495,-0.0894,-0.1589,0.0017,1576,8.18,8.18
