t,alt,ax,ay,az,gx,gy,gz,escPWM,rollDeg,pitchDeg
33924,-52.79,-0.0012,-0.0007,0.9941,-0.0013,-0.0011,0.0016,1579,8.18,-5.74
34023,-52.80,0.0042,0.0059,1.0056,-0.0039,0.0004,-0.0011,1579,8.18,-5.74
34122,-52.69,0.0042,-0.0022,1.0054,-0.0005,-0.0005,-0.0005,1579,8.18,-5.74
34220,-52.84,0.0024,0.0027,0.9983,0.0004,0.0009,0.0008,1579,8.18,-5.74
34318,-52.68,-0.0029,0.0034,0.9958,0.0023,-0.0004,0.0023,1579,8.18,-5.74
34416,-52.84,0.0073,-0.0039,0.9939,0.0013,0.0028,-0.0023,1579,8.18,-5.74
34514,-52.66,-0.0005,0.0051,1.0010,0.0008,0.0008,-0.0004,1579,8.18,-5.74
34612,-52.67,0.0022,-0.0029,1.0027,0.0028,-0.0032,-0.0001,1579,8.18,-5.74
34710,-52.73,0.0037,-0.0029,1.0073,-0.0025,0.0017,-0.0012,1579,8.18,-5.74
34808,-52.62,0.0049,0.0024,1.0061,0.0008,-0.0013,0.0005,1579,8.18,-5.74
34906,-52.76,0.0029,-0.0012,0.9990,-0.0021,0.0008,-0.0044,1579,8.18,-5.74
35004,-52.77,-0.0020,0.0024,1.0054,0.0096,0.0089,0.0101,1579,8.18,-5.74
